Date,Type,Actual,Lasso + Linear_Prediction,All Linear Models_Prediction,Linear + Random Forest_Prediction,All Tree Models_Prediction,All Models_Prediction
2014-09-01,Train,3.89218602065,3.931654341195322,3.9179246763464035,3.8972122960061313,3.8963806883096894,3.9071526823280465
2014-10-01,Train,3.87051763191702,3.9109530660273704,3.8992784782904764,3.8737953022330807,3.872083564196643,3.8856810212435597
2014-11-01,Train,3.84724865542533,3.890639785864984,3.877252992181919,3.8526363059677404,3.851793575758703,3.864523283970311
2014-12-01,Train,3.82790171815421,3.871417598931169,3.8578159909753804,3.834269524079151,3.834763990525307,3.846289990750344
2015-01-01,Train,3.80714408377315,3.8536727724214206,3.8402927238637865,3.81082427020518,3.8095720800031945,3.82493240193349
2015-02-01,Train,3.78927463671145,3.8356604911743304,3.81898352732269,3.7900511656045657,3.7904106152610297,3.80469707129186
2015-03-01,Train,3.77523608161888,3.821702890730224,3.804035116627011,3.779034958108408,3.777740524655003,3.7908878206410073
2015-04-01,Train,3.76533119287938,3.810524463861265,3.7955324740369325,3.7696404324346853,3.7696048745131754,3.7825686742750535
2015-05-01,Train,3.76512416536572,3.8067643628741097,3.788562126725632,3.769116743021447,3.7677310796993275,3.77814660321248
2015-06-01,Train,3.76951582922701,3.8089465893557026,3.7931195798276387,3.772045053087841,3.7707150108985483,3.7819172953630935
2015-07-01,Train,3.78355237727957,3.81774786556658,3.8080225054415515,3.7837279383579916,3.782771668065303,3.7953970867534275
2015-08-01,Train,3.8009207061272,3.8320877347037063,3.8215747922194843,3.7977562541719116,3.7977819220962137,3.8096783571578485
2015-09-01,Train,3.82207590614213,3.8501986234659347,3.839239149096508,3.817100286210442,3.818297656415503,3.828768402756006
2015-10-01,Train,3.84439454538246,3.8696730197874514,3.863100207448039,3.837761374953179,3.839322896599404,3.851211552023722
2015-11-01,Train,3.86455168830007,3.8881794348738565,3.8798110677130246,3.86208537455063,3.8640997562334047,3.8719554119732145
2015-12-01,Train,3.88533500550669,3.9070951397729736,3.9016337745784058,3.881111725383626,3.8823241336425216,3.891978954110464
2016-01-01,Train,3.89991464735495,3.9231422406293,3.914784431862588,3.8924934330795997,3.8941264604749115,3.90445544616875
2016-02-01,Train,3.91281108606244,3.9353905329265446,3.9276581424926165,3.91032836532119,3.911143170234307,3.9194006563634622
2016-03-01,Train,3.92025339412763,3.944876666778712,3.93682096441434,3.9205612099267935,3.919691893597923,3.9282564290061317
2016-04-01,Train,3.92294534854105,3.9483814259890195,3.94250021643249,3.92173788553506,3.9218585589276054,3.9321793876800477
2016-05-01,Train,3.92353808832088,3.949595367811791,3.9372932408443355,3.920826492755321,3.9218452392113625,3.929569240027849
2016-06-01,Train,3.91950761329381,3.948443157719462,3.9387512935388798,3.918642403041772,3.919243448682036,3.9289973711104573
2016-07-01,Train,3.91491428211992,3.9449592532218962,3.9328593859080185,3.9155627389576053,3.9153146612470966,3.9240870235775573
2016-08-01,Train,3.90781955632945,3.9381588953569775,3.925467974401826,3.9065630869904773,3.906635243078543,3.9160516087401844
2016-09-01,Train,3.89920821237423,3.9317981851965977,3.916897962742255,3.900283723834794,3.900037116678691,3.908467539710473
2016-10-01,Train,3.88892902593503,3.9230749250291757,3.909663268475677,3.891045893742806,3.8902079209653575,3.8999355947205174
2016-11-01,Train,3.87530781849648,3.912389178497657,3.9006506052835968,3.8773717802294794,3.875740138057951,3.888195371670774
2016-12-01,Train,3.86096664300371,3.89985140317207,3.8871813163859312,3.8630268118680346,3.8618067246577206,3.8744940205218263
2017-01-01,Train,3.84324764051008,3.8845701396320367,3.87252532644807,3.847790523160265,3.847107036508946,3.8598161814785077
2017-02-01,Train,3.82524562155944,3.8684803184197736,3.8536942460976307,3.830415422546279,3.828983326472868,3.8413387862852493
2017-03-01,Train,3.80670971132832,3.8514606087904646,3.8368857158281084,3.8109289834884574,3.8106788921567207,3.8237823039924144
2017-04-01,Train,3.78857954866887,3.835505195059267,3.819368645319054,3.790556731212079,3.790733770137378,3.8050512077282157
2017-05-01,Train,3.77322854216411,3.82038304265072,3.8050950934517798,3.7774411010312274,3.7756167975333716,3.790355945492576
2017-06-01,Train,3.75863542323855,3.8064469902208824,3.792675151077598,3.7585899142630055,3.758378281268459,3.775526716173028
2017-07-01,Train,3.74770378040711,3.795582932154161,3.7800547915003797,3.7494627916346603,3.747857635094006,3.763956213297193
2017-08-01,Train,3.73763585647349,3.786348173899943,3.7674063307076877,3.740050795706111,3.7389803146497713,3.7531933226787295
2017-09-01,Train,3.73015818977674,3.7783332892104204,3.7617243857300404,3.7315652061746762,3.730712145881908,3.746218265805974
2017-10-01,Train,3.72518201256402,3.7724995964234624,3.759893531071082,3.7261195913379805,3.725677774770747,3.7427856529209147
2017-11-01,Train,3.72087633576614,3.76784093541987,3.7537123590862755,3.722610063962287,3.722193302986913,3.7379528310365946
2017-12-01,Train,3.71844314912355,3.7652208154760203,3.7519627132634708,3.7187325535910567,3.718289420807505,3.735126067035488
2018-01-01,Train,3.71520181927011,3.7628715213695636,3.749565180216479,3.715580136292599,3.715209535805025,3.7323873580107523
2018-02-01,Train,3.71254683351992,3.7603048013673392,3.743958481909217,3.7127897306080335,3.7123436710763045,3.7281510764927606
2018-03-01,Train,3.70993249882867,3.757555981762353,3.7413950563138942,3.7100396136732634,3.710804128104767,3.72609959220933
2018-04-01,Train,3.70783951688464,3.7557118817192374,3.7404438643395532,3.708865030644038,3.708984252255199,3.724714058297376
2018-05-01,Train,3.70731388120512,3.754546772178587,3.7387815366156154,3.7079840711418104,3.7083705234496533,3.723576030032634
2018-06-01,Train,3.7070127097667,3.7542320605270163,3.7364883519691907,3.707649170926392,3.7083351217752933,3.722411736872242
2018-07-01,Train,3.7085249107295,3.7550209650358815,3.741620367145137,3.709264075782567,3.7096703540429554,3.7256453605940467
2018-08-01,Train,3.71035268474274,3.756117050679777,3.7398759443346172,3.7112823537665163,3.711692727385698,3.725784335860158
2018-09-01,Train,3.71280166828595,3.7581605955434085,3.742350664180142,3.7129130630043257,3.7135901295434928,3.727970396861817
2018-10-01,Train,3.71585929330642,3.760944714848596,3.7473959693305066,3.71599719421665,3.7161302843557276,3.731763126843117
2018-11-01,Train,3.71869724450342,3.7634767371686,3.748554154355227,3.7193632958119345,3.719439928694024,3.7339970415246255
2018-12-01,Train,3.72168865925098,3.766047628078711,3.750769888794293,3.721234700948926,3.7215082203616308,3.7361390545779614
2019-01-01,Train,3.72337918562744,3.7683410857211443,3.7536285220962964,3.723340532434541,3.7234983360593517,3.7385634290778236
2019-02-01,Train,3.72502998119454,3.7697111695509706,3.7537702072733032,3.724872167636929,3.72461251566672,3.7391913614700116
2019-03-01,Train,3.7259466407893,3.770671298436993,3.7543761896653174,3.725324067357521,3.725707684758511,3.7400419372119145
2019-04-01,Train,3.72691647519058,3.7714940450203533,3.753624793300505,3.726619991617337,3.727628004940142,3.7406263991203232
2019-05-01,Train,3.72863096951623,3.7733637654752745,3.7597027457128616,3.728808655979338,3.728432784005795,3.7440677648593286
2019-06-01,Train,3.72970293493347,3.7741285065655203,3.762378150374964,3.7298276714177834,3.7299640346482072,3.746171092511586
2019-07-01,Train,3.73139237742692,3.7754089865601648,3.7628100036113135,3.731586837661048,3.7311020466649034,3.746956025138108
2019-08-01,Train,3.73460888872938,3.7775619303712054,3.7669906609032786,3.7333592389692978,3.733928415774494,3.750459538338886
2019-09-01,Train,3.73953615242445,3.781676309609642,3.77036877934492,3.739556468147548,3.739905234287987,3.755137006816454
2019-10-01,Train,3.75254387915223,3.790025111985358,3.7766561489406922,3.749826603647519,3.749581907259208,3.76311902809995
2019-11-01,Train,3.7720389245313,3.8049267577401658,3.7919580547463236,3.7712516182947793,3.772563051995584,3.7822605533709535
2019-12-01,Train,3.79203537086416,3.823070317965364,3.810237272103059,3.7910470007676897,3.79099226193282,3.8006147670179398
2020-01-01,Train,3.81561502071261,3.8427904263288513,3.828271513671183,3.810736414488601,3.8116391617867795,3.8199553377289814
2020-02-01,Train,3.83192042611088,3.8607506081576473,3.8498815718725337,3.825939544494143,3.8264178350375637,3.838149703455049
2020-03-01,Train,3.8450221157914,3.874203208035973,3.865095586194347,3.840428126150874,3.8413885371631373,3.853242061678742
2020-04-01,Train,3.85461198098563,3.883615130555625,3.8764276727034885,3.8536274905491235,3.854700479600941,3.8655640761522143
2020-05-01,Train,3.85737348879571,3.889318880497001,3.8782813712871254,3.8569802278929877,3.8572641281787177,3.8677727497329215
2020-06-01,Train,3.86213783961225,3.8923223004639307,3.883454132066035,3.8604215218937936,3.8608847985721404,3.8721694653190877
2020-07-01,Train,3.85819986535514,3.892873804027838,3.880742009739773,3.8606940737365023,3.8599181429306344,3.870330076335204
2020-08-01,Test,3.85149796628801,3.8893162519907896,3.8765103517242365,3.8592958927366112,3.8615047551183506,3.869007553421293
2020-09-01,Test,3.83819662683323,3.878587376666116,3.865863397934668,3.8483501589763796,3.856498976891474,3.8611811874130715
2020-10-01,Test,3.82673211994726,3.857858709341377,3.8511389898428376,3.825215355830232,3.829984365110453,3.8405616774766447
2020-11-01,Test,3.82500982900551,3.84961123672739,3.839696765188196,3.809970408675183,3.815083850233695,3.8273903077109455
2020-12-01,Test,3.83810817862267,3.853481526466113,3.833560484665932,3.8142778561433017,3.813014801364283,3.823287643015107
